[GNSSFGOBridge] Using gnssfgo JSONL mode: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl -> /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataReader] Started. Input: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl, Output: /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataProvider] Polling /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl for new epochs...
[OSQA] Started. Config: window=50, fusion=weighted, threshold=0.2
[OSQA Visualizer] updating epoch 1465020949.00, sats=31, mean_q=0.874
[OSQA Visualizer] updating epoch 1465020950.00, sats=30, mean_q=0.721
[OSQA Visualizer] updating epoch 1465020951.00, sats=29, mean_q=0.761
[OSQA Visualizer] updating epoch 1465020952.00, sats=28, mean_q=0.774
[OSQA Visualizer] updating epoch 1465020953.00, sats=31, mean_q=0.712
[OSQA Visualizer] updating epoch 1465020954.00, sats=29, mean_q=0.735
[OSQA Visualizer] updating epoch 1465020955.00, sats=29, mean_q=0.751
[OSQA Visualizer] updating epoch 1465020956.00, sats=30, mean_q=0.710
[OSQA Visualizer] updating epoch 1465020957.00, sats=30, mean_q=0.681
[OSQA Visualizer] updating epoch 1465020958.00, sats=29, mean_q=0.722
[OSQA Visualizer] updating epoch 1465020959.00, sats=30, mean_q=0.742
[OSQA Visualizer] updating epoch 1465020960.00, sats=29, mean_q=0.767
[OSQA Visualizer] updating epoch 1465020961.00, sats=29, mean_q=0.741
[OSQA Visualizer] updating epoch 1465020962.00, sats=29, mean_q=0.790
[OSQA Visualizer] updating epoch 1465020963.00, sats=31, mean_q=0.719
[OSQA Visualizer] updating epoch 1465020964.00, sats=30, mean_q=0.764
[OSQA Visualizer] updating epoch 1465020965.00, sats=31, mean_q=0.795
[OSQA Visualizer] updating epoch 1465020966.00, sats=30, mean_q=0.829
[OSQA Visualizer] updating epoch 1465020967.00, sats=30, mean_q=0.817
[OSQA Visualizer] updating epoch 1465020968.00, sats=29, mean_q=0.742
[OSQA Visualizer] updating epoch 1465020969.00, sats=29, mean_q=0.809
[OSQA Visualizer] updating epoch 1465020970.00, sats=29, mean_q=0.802
[OSQA Visualizer] updating epoch 1465020971.00, sats=29, mean_q=0.819
[OSQA Visualizer] updating epoch 1465020972.00, sats=29, mean_q=0.807
[OSQA Visualizer] updating epoch 1465020973.00, sats=29, mean_q=0.810
[OSQA Visualizer] updating epoch 1465020974.00, sats=29, mean_q=0.803
[OSQA Visualizer] updating epoch 1465020975.00, sats=29, mean_q=0.802
[OSQA Visualizer] updating epoch 1465020976.00, sats=29, mean_q=0.823
[OSQA Visualizer] updating epoch 1465020977.00, sats=29, mean_q=0.788
[OSQA Visualizer] updating epoch 1465020978.00, sats=29, mean_q=0.798
[OSQA Visualizer] updating epoch 1465020979.00, sats=29, mean_q=0.784
[OSQA Visualizer] updating epoch 1465020980.00, sats=29, mean_q=0.757
[OSQA Visualizer] updating epoch 1465020981.00, sats=30, mean_q=0.764
[OSQA Visualizer] updating epoch 1465020982.00, sats=30, mean_q=0.791
[OSQA Visualizer] updating epoch 1465020983.00, sats=30, mean_q=0.804
[OSQA Visualizer] updating epoch 1465020984.00, sats=30, mean_q=0.794
[OSQA Visualizer] updating epoch 1465020985.00, sats=30, mean_q=0.824
[OSQA Visualizer] updating epoch 1465020986.00, sats=30, mean_q=0.781
[OSQA Visualizer] updating epoch 1465020987.00, sats=30, mean_q=0.754
[OSQA Visualizer] updating epoch 1465020988.00, sats=29, mean_q=0.761
[OSQA Visualizer] updating epoch 1465020989.00, sats=30, mean_q=0.770
[OSQA Visualizer] updating epoch 1465020990.00, sats=31, mean_q=0.808
[OSQA Visualizer] updating epoch 1465020991.00, sats=31, mean_q=0.798
[OSQA Visualizer] updating epoch 1465020992.00, sats=31, mean_q=0.789
[OSQA Visualizer] updating epoch 1465020993.00, sats=31, mean_q=0.794
[OSQA Visualizer] updating epoch 1465020994.00, sats=31, mean_q=0.774
[OSQA Visualizer] updating epoch 1465020995.00, sats=31, mean_q=0.802
[OSQA Visualizer] updating epoch 1465020996.00, sats=31, mean_q=0.775
[OSQA Visualizer] updating epoch 1465020997.00, sats=31, mean_q=0.786
[OSQA Visualizer] updating epoch 1465020998.00, sats=31, mean_q=0.752
[OSQA Visualizer] updating epoch 1465020999.00, sats=30, mean_q=0.780
[OSQA Visualizer] updating epoch 1465021000.00, sats=29, mean_q=0.802
[OSQA Visualizer] updating epoch 1465021001.00, sats=30, mean_q=0.790
[OSQA Visualizer] updating epoch 1465021002.00, sats=30, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021003.00, sats=30, mean_q=0.782
[OSQA Visualizer] updating epoch 1465021004.00, sats=30, mean_q=0.778
[OSQA Visualizer] updating epoch 1465021005.00, sats=30, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021006.00, sats=30, mean_q=0.790
[OSQA Visualizer] updating epoch 1465021007.00, sats=29, mean_q=0.796
[OSQA Visualizer] updating epoch 1465021008.00, sats=30, mean_q=0.797
[OSQA Visualizer] updating epoch 1465021009.00, sats=31, mean_q=0.726
[OSQA Visualizer] updating epoch 1465021010.00, sats=31, mean_q=0.785
[OSQA Visualizer] updating epoch 1465021011.00, sats=31, mean_q=0.767
[OSQA Visualizer] updating epoch 1465021012.00, sats=31, mean_q=0.787
[OSQA Visualizer] updating epoch 1465021013.00, sats=31, mean_q=0.769
[OSQA Visualizer] updating epoch 1465021014.00, sats=31, mean_q=0.778
[OSQA Visualizer] updating epoch 1465021015.00, sats=31, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021016.00, sats=31, mean_q=0.766
[OSQA Visualizer] updating epoch 1465021017.00, sats=32, mean_q=0.797
[OSQA Visualizer] updating epoch 1465021018.00, sats=31, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021019.00, sats=31, mean_q=0.684
[OSQA Visualizer] updating epoch 1465021020.00, sats=31, mean_q=0.771
[OSQA Visualizer] updating epoch 1465021021.00, sats=30, mean_q=0.773
[OSQA Visualizer] updating epoch 1465021022.00, sats=31, mean_q=0.766
[OSQA Visualizer] updating epoch 1465021023.00, sats=31, mean_q=0.796
[OSQA Visualizer] updating epoch 1465021024.00, sats=32, mean_q=0.768
[OSQA Visualizer] updating epoch 1465021025.00, sats=32, mean_q=0.770
[OSQA Visualizer] updating epoch 1465021026.00, sats=32, mean_q=0.765
[OSQA Visualizer] updating epoch 1465021027.00, sats=31, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021028.00, sats=31, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021029.00, sats=31, mean_q=0.761
[OSQA Visualizer] updating epoch 1465021030.00, sats=31, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021031.00, sats=31, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021032.00, sats=31, mean_q=0.759
[OSQA Visualizer] updating epoch 1465021033.00, sats=31, mean_q=0.781
[OSQA Visualizer] updating epoch 1465021034.00, sats=32, mean_q=0.750
